Date,Close/Last,Volume,Open,High,Low
01/08/2025,91.88,1485032,92.40,92.54,89.145
01/07/2025,91.94,1474238,99.00,99.347,90.95
01/06/2025,97.78,1297786,97.36,100.64,96.744
01/03/2025,94.17,1176790,91.24,94.585,91.00
01/02/2025,89.99,1626777,92.57,93.544,87.45
12/31/2024,90.55,1356242,93.77,93.925,89.76
12/30/2024,93.02,1195790,92.50,95.33,90.75
12/27/2024,96.74,1443033,99.03,99.065,93.80
12/26/2024,100.91,846904,100.00,101.99,98.79
12/24/2024,100.66,560109,98.55,100.70,98.30
12/23/2024,97.76,825524,95.54,97.8201,94.08
12/20/2024,95.02,1774249,88.88,97.03,88.00
12/19/2024,90.93,1333041,93.14,94.16,90.47
12/18/2024,90.84,1933342,101.36,102.09,89.845
12/17/2024,100.43,554781,99.89,101.50,98.85
12/16/2024,102.21,954681,99.56,102.45,98.94
12/13/2024,99.30,1177716,100.69,101.81,96.91
12/12/2024,98.16,849559,97.81,99.1987,97.14
12/11/2024,99.87,1257977,98.12,100.74,96.97
12/10/2024,95.72,809872,98.85,99.66,94.78
12/09/2024,99.98,876266,101.10,101.82,99.12
12/06/2024,101.85,855075,101.40,103.22,100.99
12/05/2024,100.84,814756,102.00,102.28,100.39
12/04/2024,102.52,1595314,100.58,102.57,99.94
12/03/2024,97.14,647319,95.00,97.19,94.27
12/02/2024,96.14,962579,93.56,97.16,93.56
11/29/2024,93.51,479835,91.56,94.06,91.38
11/27/2024,91.08,1262135,93.16,93.16,88.56
11/26/2024,94.99,835616,94.92,95.85,93.77
11/25/2024,93.53,1163264,95.63,96.20,92.34
11/22/2024,93.62,949287,93.19,94.21,91.97
11/21/2024,93.61,1439528,93.32,94.84,89.21
11/20/2024,90.76,1175307,91.20,91.295,87.151
11/19/2024,91.22,1029875,87.41,91.31,87.35
11/18/2024,89.01,883809,88.27,90.10,86.98
11/15/2024,88.46,1866597,91.431,92.00,87.20
11/14/2024,95.35,1199648,96.79,97.20,94.80
11/13/2024,96.73,821301,96.73,98.47,95.45
11/12/2024,97.30,889447,96.69,97.70,95.1001
11/11/2024,97.10,1310104,98.65,98.88,95.27
11/08/2024,98.65,865223,98.70,99.69,97.63
11/07/2024,99.12,1262340,96.06,99.44,96.04
11/06/2024,94.01,1978855,91.79,94.74,91.09
11/05/2024,86.84,786099,84.04,87.05,84.04
11/04/2024,83.35,912228,83.71,85.1294,82.28
11/01/2024,83.59,1266808,82.04,85.41,81.67
10/31/2024,81.79,2349707,87.30,87.54,81.70
10/30/2024,90.66,861723,92.47,93.22,90.39
10/29/2024,95.13,940267,91.98,95.90,90.96
10/28/2024,91.51,532495,93.11,93.15,91.38
10/25/2024,91.55,877142,91.63,94.575,91.16
10/24/2024,90.28,623959,90.48,90.87,88.61
10/23/2024,89.56,1085457,92.44,92.8001,87.08
10/22/2024,93.59,725711,92.46,94.43,91.52
10/21/2024,93.85,921025,91.51,93.87,91.16
10/18/2024,92.46,475029,93.00,93.57,91.97
10/17/2024,91.83,1160597,94.72,94.83,91.72
10/16/2024,90.83,700321,90.89,91.2796,87.925
10/15/2024,90.30,1402771,96.66,97.31,89.00
10/14/2024,96.22,927691,94.43,96.94,94.43
10/11/2024,92.74,693722,91.38,93.45,91.24
10/10/2024,92.37,754050,90.63,93.13,89.88
10/09/2024,92.56,1159336,89.75,92.90,88.94
10/08/2024,89.60,1043535,86.45,89.97,86.09
10/07/2024,85.00,589569,85.62,87.15,84.25
10/04/2024,86.73,885889,87.10,87.40,84.00
10/03/2024,84.02,905341,82.20,85.78,82.14
10/02/2024,82.86,991919,81.26,84.05,79.71
10/01/2024,81.25,1736693,86.77,86.88,79.6158
09/30/2024,87.53,725809,85.57,87.71,84.3801
09/27/2024,86.77,727793,89.75,89.75,85.82
09/26/2024,89.28,1106596,90.97,91.30,86.70
09/25/2024,86.05,697020,84.71,87.15,84.68
09/24/2024,85.28,635660,84.73,85.8499,81.95
09/23/2024,83.66,533336,83.95,84.2199,82.90
09/20/2024,83.66,914678,84.02,84.88,81.4501
09/19/2024,84.53,1768596,84.65,86.53,83.3501
09/18/2024,78.01,1560809,80.91,82.70,77.89
09/17/2024,80.36,926971,83.12,83.59,79.10
09/16/2024,80.78,877684,80.00,81.59,78.54
09/13/2024,81.85,845858,80.99,82.40,79.90
09/12/2024,80.69,1522412,78.48,81.67,76.87
09/11/2024,78.71,1816454,72.18,79.10,68.75
09/10/2024,71.45,1186977,69.77,71.61,67.86
09/09/2024,68.45,1333129,67.71,68.6301,65.86
09/06/2024,65.55,2308457,70.65,71.005,64.31
09/05/2024,70.86,1275511,69.60,73.50,69.49
09/04/2024,71.18,1615052,69.54,73.62,69.00
09/03/2024,71.71,2285883,80.70,80.79,70.4499
08/30/2024,83.27,1004397,82.76,84.215,80.10
08/29/2024,80.29,1500564,82.49,85.97,79.58
08/28/2024,82.64,1191895,85.62,86.11,80.36
08/27/2024,86.08,918500,83.00,86.59,81.70
08/26/2024,84.58,1133600,88.00,88.58,83.21
08/23/2024,87.84,1418946,86.25,89.00,84.6022
08/22/2024,84.07,1473130,91.55,92.20,83.30
08/21/2024,90.16,1213401,89.01,91.07,87.9401
08/20/2024,88.59,1125236,88.93,90.50,87.08
08/19/2024,89.56,1230452,85.00,89.625,83.8201
08/16/2024,85.40,1283211,84.00,85.91,82.9117
08/15/2024,85.06,2013919,81.45,85.35,80.89
08/14/2024,78.41,1811443,78.52,79.54,75.25
08/13/2024,77.14,1768125,73.13,77.20,72.97
08/12/2024,70.67,1361160,69.59,72.2435,68.6499
08/09/2024,68.97,1443994,67.85,70.10,66.72
08/08/2024,68.04,2459406,64.62,68.59,61.89
08/07/2024,61.27,2837626,68.97,70.095,61.08
08/06/2024,64.63,3184413,64.47,68.30,62.35
08/05/2024,62.30,4835456,55.50,65.86,54.80
08/02/2024,68.75,4107140,69.16,71.13,65.15
08/01/2024,75.48,3732814,84.13,87.03,72.75
07/31/2024,84.87,2682088,82.57,85.7199,80.72
07/30/2024,75.33,2614877,82.35,82.60,73.50
07/29/2024,81.53,1321308,84.50,85.5893,80.72
07/26/2024,82.54,2344169,82.50,84.51,80.60
07/25/2024,79.60,4021920,82.11,85.69,76.12
07/24/2024,82.61,4084205,90.37,91.23,81.91
07/23/2024,94.12,1000968,94.10,96.60,93.69
07/22/2024,95.23,1805599,92.54,95.51,91.31
07/19/2024,89.06,2290584,92.06,93.54,88.3401
07/18/2024,93.42,2678491,96.55,96.55,89.91
07/17/2024,93.61,3081916,98.53,98.82,93.315
07/16/2024,105.93,1708325,107.64,107.80,103.53
07/15/2024,106.94,1667879,107.92,110.08,105.14
07/12/2024,106.41,1340997,104.50,109.74,103.45
07/11/2024,103.84,4211900,112.62,112.78,102.78
07/10/2024,112.11,1967825,109.72,112.46,107.96
07/09/2024,107.54,2144562,109.32,110.23,105.71
07/08/2024,107.94,1477858,106.64,108.82,106.1832
07/05/2024,105.85,1412392,104.76,107.17,103.81
07/03/2024,104.92,1187184,100.40,105.03,100.19
07/02/2024,100.88,1085711,97.04,100.91,96.91
07/01/2024,99.48,1066919,97.56,99.90,93.41
06/28/2024,97.38,1138006,98.58,102.66,96.86
06/27/2024,97.64,890785,96.82,98.96,96.59
